clip,source_id,language_requested,language_code,language_probability,n_speakers,transcript
en_nptel_lecture_demo_0001.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined."
en_nptel_lecture_demo_0003.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Enthalpy of moist air, it would be in units of say kilojoule per kg air."
en_nptel_lecture_demo_0004.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then"
en_nptel_lecture_demo_0006.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.
en_nptel_lecture_demo_0008.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,Omega times H2 and you notice this combination CP times T1.
en_nptel_lecture_demo_0009.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing."
en_nptel_lecture_demo_0010.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"This term, uh, these two terms go together and then"
en_nptel_lecture_demo_0011.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,You can see that these terms go together.
en_nptel_lecture_demo_0013.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,Okay? This of course becomes Cp times T. This is hg of T.
en_nptel_lecture_demo_0014.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.
en_nptel_lecture_demo_0015.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"in the usual manner. But in the applications or examples that we have seen so far, we notice that it does not  when you when you look at the  the energy equation that we have applied to different examples."
en_nptel_lecture_demo_0016.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"We notice that the terms do not appear in this combination but appear in a combination where the specific enthalpy is defined on a per unit mass of dry air. So basically instead of dividing by M, we divide by mass of dry air."
en_nptel_lecture_demo_0017.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So if you do that, then we end up with this combination HA plus omega times HV, which is in units of kilojoule per kg dry air."
en_nptel_lecture_demo_0018.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Okay? There is nothing wrong with this. Okay? So this is perfectly all right, okay? But this is specific enthalpy on a per unit mass of moist air. But in applications, when we apply energy balance to practical problems and"
en_nptel_lecture_demo_0020.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Okay? This is far more useful in psychrometric applications than this, okay? But there is nothing wrong with this also."
en_nptel_lecture_demo_0021.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"And H star is what we will use in our examples from now onwards, okay? But we will clearly indicate. So this is actually H of moist air on specific."
en_nptel_lecture_demo_0022.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,specific enthalpy of moist air on a per kg on a per kg moist air basis or per kg air. This is H star which is specific enthalpy of moist air on a per kg dry air basis.
en_nptel_lecture_demo_0023.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Now, the new terms that we have introduced in psychrometry."
en_nptel_lecture_demo_0024.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Uh, or like this. So this is a list of new terms that we have introduced. First one is the, uh, the partial pressure of water vapor."
en_nptel_lecture_demo_0026.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"PV psychrometric operations, unit operations remains constant. Generally, we assume the mixture pressure to be constant. Furthermore, in all the examples that we are working out, we have assumed the mixture pressure to be 1 atmosphere. But mixture pressure is usually a constant, which means that PV depends only on omega."
en_nptel_lecture_demo_0028.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So PV here depends on omega, P sat depends on T obviously. So fee depends on both."
en_nptel_lecture_demo_0029.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Temperature T and omega. By temperature, what we mean here is the dry bulb temperature."
en_nptel_lecture_demo_0030.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,May be written as HA plus omega HV and HA itself may be written as CP times T plus omega HG of T.
en_nptel_lecture_demo_0033.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So we may write for the water vapor, uh, partial pressure of water vapor times volume of mixture equal to MV or V times T. So V itself may be written in terms of the, uh,"
en_nptel_lecture_demo_0034.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Omega times RV times T over PV, and if I replace PV in favor of omega using this relationship, I get finally something like this."
en_nptel_lecture_demo_0035.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"This one here. So if you look at this one again, I can gather CP times T2."
en_nptel_lecture_demo_0037.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"And the dew point is nothing but T sat of PV, and PV depends on omega, so this depends on omega only."
en_nptel_lecture_demo_0038.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"But the, uh, the important point that emerges from, uh, looking at the list of expressions here is that all the quantities depend only on two independent properties, T and omega."
en_nptel_lecture_demo_0039.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Which is the basis for developing the psychrometric chart. So basically the psychrometric chart has two axes, vertical axis is omega."
en_nptel_lecture_demo_0040.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"And the horizontal axis is T, which is the dry bulb temperature, of course."
en_nptel_lecture_demo_0041.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"Okay, some of them interestingly enough depend only on omega. Let me denote this using a slightly different color."
en_nptel_lecture_demo_0042.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,And this also depends only on omega. All the others seem to depend on T and omega.
en_nptel_lecture_demo_0043.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,"So basically the psychrometric chart, as you can see, has uh"
en_nptel_lecture_demo_0044.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,and dry bulb temperature on the x-axis and lines of constant values of each one of these variable is given in the is depicted in the chart. So basically the chart
