clip_id,audio_path,language,text,emotion,duration_s,sample_rate,sha256,snr_db,lufs,language_probability,speaker,source_url,source_title,license,asr_transcript,edited
en_nptel_lecture_demo_0001,data/clips/en_nptel_lecture_demo_0001.wav,en-IN,"So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined.",conversational,14.96,24000,7727568eb58a2c04d9c8c1efac617c3691444ff50727e4e95e87d00e80abb55a,26.6,-18.9,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),"So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined.",False
en_nptel_lecture_demo_0003,data/clips/en_nptel_lecture_demo_0003.wav,en-IN,"Enthalpy of moist air, it would be in units of say kilojoule per kg air.",neutral,7.76,24000,a0955d7c8faf278c38610bd0c475e6e765880119bdf58a72c769a1d192884882,37.4,-18.0,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),"Enthalpy of moist air, it would be in units of say kilojoule per kg air.",False
en_nptel_lecture_demo_0004,data/clips/en_nptel_lecture_demo_0004.wav,en-IN,"Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then",neutral,14.16,24000,b9ccef6d62ff70895e6582c4c21cee6cb35824ed687f9ae6d30270936fcdba27,38.3,-14.5,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),"Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then",False
en_nptel_lecture_demo_0006,data/clips/en_nptel_lecture_demo_0006.wav,en-IN,CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.,neutral,14.16,24000,f754d08b8771d5f40c9166205f86492cd3f5a2a4e2cc64abb28fec0aa169fb61,30.4,-18.5,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.,False
en_nptel_lecture_demo_0008,data/clips/en_nptel_lecture_demo_0008.wav,en-IN,Omega times H2 and you notice this combination CP times T1.,neutral,6.36,24000,6c56e5117a280c68c9b037adfd4047bc85867ae7d43d96ac319d6d32bab4b169,36.5,-18.8,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),Omega times H2 and you notice this combination CP times T1.,False
en_nptel_lecture_demo_0009,data/clips/en_nptel_lecture_demo_0009.wav,en-IN,"So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing.",neutral,14.96,24000,c3392d76508d19d4842fe69c2bb72f0a2bfc3e470ea23aa78ccb32bbd80c2b8b,38.3,-13.0,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),"So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing.",False
en_nptel_lecture_demo_0010,data/clips/en_nptel_lecture_demo_0010.wav,en-IN,"This term, uh, these two terms go together and then",neutral,4.56,24000,fe61f4575fbc9f893fc5337cb446b6d81d12b7c9ad11d04b769158d5962b4bee,35.1,-20.4,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),"This term, uh, these two terms go together and then",False
en_nptel_lecture_demo_0011,data/clips/en_nptel_lecture_demo_0011.wav,en-IN,You can see that these terms go together.,neutral,4.96,24000,b5f2db40926e7d88c198e52ba8e5b09db027641ac667ba57e9a0ef75315aecd0,36.0,-19.4,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),You can see that these terms go together.,False
en_nptel_lecture_demo_0013,data/clips/en_nptel_lecture_demo_0013.wav,en-IN,Okay? This of course becomes Cp times T. This is hg of T.,neutral,4.66,24000,88dc888cc0732748d9e98d1e665f0db723a8a68ca365e4956aa5f55891e19c2b,47.0,-15.9,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),Okay? This of course becomes Cp times T. This is hg of T.,False
en_nptel_lecture_demo_0014,data/clips/en_nptel_lecture_demo_0014.wav,en-IN,Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.,neutral,8.96,24000,46c1ec31797d4922361e1328adb43df593c8e8a5bc0616e5df4b3e261b0ddaf7,36.2,-13.0,,nptelhrd,https://www.youtube.com/watch?v=IVz3N68fF1c,Psychrometry - Part 5,Creative Commons Attribution license (reuse allowed),Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.,False
