clip,source_id,language_requested,language_code,language_probability,n_speakers,speech_start_s,speech_end_s,transcript,verify_pass,verify_reasons
en_nptel_lecture_demo_0001.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,14.5,"So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined.",True,
en_nptel_lecture_demo_0003.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,7.3,"Enthalpy of moist air, it would be in units of say kilojoule per kg air.",True,
en_nptel_lecture_demo_0004.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,13.7,"Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then",True,
en_nptel_lecture_demo_0006.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,13.7,CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.,True,
en_nptel_lecture_demo_0008.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,5.9,Omega times H2 and you notice this combination CP times T1.,True,
en_nptel_lecture_demo_0009.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,14.5,"So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing.",True,
en_nptel_lecture_demo_0010.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,4.1,"This term, uh, these two terms go together and then",True,
en_nptel_lecture_demo_0011.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,4.5,You can see that these terms go together.,True,
en_nptel_lecture_demo_0013.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,4.2,Okay? This of course becomes Cp times T. This is hg of T.,True,
en_nptel_lecture_demo_0014.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,8.5,Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.,True,
en_nptel_lecture_demo_0015.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,16.1,"in the usual manner. But in the applications or examples that we have seen so far, we notice that it does not  when you when you look at the  the energy equation that we have applied to different examples.",True,
en_nptel_lecture_demo_0016.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,16.1,"We notice that the terms do not appear in this combination but appear in a combination where the specific enthalpy is defined on a per unit mass of dry air. So basically instead of dividing by M, we divide by mass of dry air.",True,
en_nptel_lecture_demo_0017.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,8.2,"So if you do that, then we end up with this combination HA plus omega times HV, which is in units of kilojoule per kg dry air.",True,
en_nptel_lecture_demo_0018.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,15.7,"Okay? There is nothing wrong with this. Okay? So this is perfectly all right, okay? But this is specific enthalpy on a per unit mass of moist air. But in applications, when we apply energy balance to practical problems and",True,
en_nptel_lecture_demo_0020.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,7.4,"Okay? This is far more useful in psychrometric applications than this, okay? But there is nothing wrong with this also.",True,
en_nptel_lecture_demo_0021.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,13.4,"And H star is what we will use in our examples from now onwards, okay? But we will clearly indicate. So this is actually H of moist air on specific.",True,
en_nptel_lecture_demo_0022.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,13.4,specific enthalpy of moist air on a per kg on a per kg moist air basis or per kg air. This is H star which is specific enthalpy of moist air on a per kg dry air basis.,True,
en_nptel_lecture_demo_0023.wav,en_nptel_lecture_demo,en-IN,en-IN,,1,0.0,6.4,"Now, the new terms that we have introduced in psychrometry.",True,
