clip,source_id,language_code,decision,reason,asr_transcript,final_transcript,edit_note,duration_s
en_nptel_lecture_demo_0001.wav,en_nptel_lecture_demo,en-IN,PENDING,,"So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined.","So, uh, you may recall that, um, when we discussed, uh, moist air or rather, uh, defined the specific enthalpy of moist air, we actually defined, um, uh, defined.",,14.5
en_nptel_lecture_demo_0003.wav,en_nptel_lecture_demo,en-IN,PENDING,,"Enthalpy of moist air, it would be in units of say kilojoule per kg air.","Enthalpy of moist air, it would be in units of say kilojoule per kg air.",,7.3
en_nptel_lecture_demo_0004.wav,en_nptel_lecture_demo,en-IN,PENDING,,"Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then","Okay? 
And we can then approximate  HA using the calorifically perfect assumption. 
And HV may be approximated as HG of T. 
However,  if you look at psychrometric applications, then",,13.7
en_nptel_lecture_demo_0006.wav,en_nptel_lecture_demo,en-IN,PENDING,,CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.,CP times T2 plus omega times T2 and CP times T1 plus omega times T1. So you notice combinations like this. So let me just show this with a different color.,,13.7
en_nptel_lecture_demo_0008.wav,en_nptel_lecture_demo,en-IN,PENDING,,Omega times H2 and you notice this combination CP times T1.,Omega times H2 and you notice this combination CP times T1.,,5.9
en_nptel_lecture_demo_0009.wav,en_nptel_lecture_demo,en-IN,PENDING,,"So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing.","So you notice this combination. So,  what you are seeing is actually the specific enthalpy  defined on a per dry air basis or per kg of dry air basis. Here also you see the same thing.",,14.5
en_nptel_lecture_demo_0010.wav,en_nptel_lecture_demo,en-IN,PENDING,,"This term, uh, these two terms go together and then","This term, uh, these two terms go together and then",,4.1
en_nptel_lecture_demo_0011.wav,en_nptel_lecture_demo,en-IN,PENDING,,You can see that these terms go together.,You can see that these terms go together.,,4.5
en_nptel_lecture_demo_0013.wav,en_nptel_lecture_demo,en-IN,PENDING,,Okay? This of course becomes Cp times T. This is hg of T.,Okay? This of course becomes Cp times T. This is hg of T.,,4.2
en_nptel_lecture_demo_0014.wav,en_nptel_lecture_demo,en-IN,PENDING,,Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.,Okay? And this is nothing but the specific enthalpy of moist air in units of say kilojoule per kg air.,,8.5
